Marc Konig	Death And Taxes	2014-11-23	Richmond	1st	76626	Legacy Open	Legacy
Joe Lossett	Miracles	2014-11-23	Richmond	2nd	76635	Legacy Open	Legacy
William Parshall	U/R Delver	2014-11-23	Richmond	3rd	76636	Legacy Open	Legacy
Ben Friedman	Jeskai Stoneblade	2014-11-23	Richmond	4th	76631	Legacy Open	Legacy
Tomas Vlcek	Miracles	2014-11-23	Richmond	5th	76642	Legacy Open	Legacy
Ryan Macedo	Infect	2014-11-23	Richmond	6th	76630	Legacy Open	Legacy
Fred Edelkamp	Jeskai Stoneblade	2014-11-23	Richmond	7th	76625	Legacy Open	Legacy
David Long	Lands	2014-11-23	Richmond	8th	76652	Legacy Open	Legacy
Shawn French	Miracles	2014-11-23	Richmond	9th	76633	Legacy Open	Legacy
Philipp Schonegger	Miracles	2014-11-23	Richmond	10th	76629	Legacy Open	Legacy
Julian Knab	Elves	2014-11-23	Richmond	11th	76645	Legacy Open	Legacy
Damon Howell	Sultai Delver	2014-11-23	Richmond	12th	76653	Legacy Open	Legacy
Scott Waldron	Storm	2014-11-23	Richmond	13th	76650	Legacy Open	Legacy
Dylan Donegan	Jeskai Delver	2014-11-23	Richmond	14th	76647	Legacy Open	Legacy
Michael Kinney	Dredge	2014-11-23	Richmond	15th	76656	Legacy Open	Legacy
Michael Braverman	Jeskai Stoneblade	2014-11-23	Richmond	16th	76655	Legacy Open	Legacy
Tan Le	U/R Delver	2014-11-23	Richmond	17th	76632	Legacy Open	Legacy
Eric Rill	Ad Nauseam Tendrils	2014-11-23	Richmond	18th	76624	Legacy Open	Legacy
Kevin King	Grixis Delver	2014-11-23	Richmond	24th	76634	Legacy Open	Legacy
Nathan Moneymaker	Reanimator	2014-11-23	Richmond	26th	76627	Legacy Open	Legacy
Jarvis Yu	Lands	2014-11-23	Richmond	28th	76646	Legacy Open	Legacy
Nate Chestnut	Burn	2014-11-23	Richmond	30th	76651	Legacy Open	Legacy
